jour,gain_fcr_eur,gain_afrr_symetrique_eur,gain_afrr_hausse_eur,gain_afrr_baisse_eur,gain_mfrr_hausse_eur,gain_mfrr_baisse_eur,gain_total_eur
2024-04-03,48.89,1060.8000000000002,,,39.12,,1148.8100000000002
2024-04-04,38.36,1060.8000000000002,,,81.711635,,1180.871635
2024-04-05,39.265,1060.8000000000002,,,36.342228,,1136.4072280000003
2024-04-06,38.83,1060.8000000000002,,,10.269311,,1109.8993110000001
2024-04-07,50.88,1060.8000000000002,,,27.559967999999998,,1139.2399680000003
2024-04-08,146.85,1060.8000000000002,,,52.32000000000001,,1259.97
2024-04-09,197.86,1060.8000000000002,,,28.629375000000003,,1287.2893750000003
2024-04-10,140.865,1060.8000000000002,,,265.76125,,1467.4262500000002
2024-04-11,155.56,1060.8000000000002,,,169.875625,,1386.2356250000003
2024-04-12,115.125,1060.8000000000002,,,151.16601,,1327.09101
2024-04-13,114.1,1060.8000000000002,,,32.339999999999996,,1207.24
2024-04-14,129.52,1060.8000000000002,,,17.439936,,1207.7599360000002
2024-04-15,231.165,1060.8000000000002,,,16.014936000000002,,1307.9799360000002
2024-04-16,228.57625,1060.8000000000002,,,10.260416,,1299.6366660000003
2024-04-17,252.28,1060.8000000000002,,,199.99996800000002,,1513.0799680000002
2024-04-18,157.78,1060.8000000000002,,,199.99996800000002,,1418.5799680000002
2024-04-19,166.415,1060.8000000000002,,,140.62496800000002,,1367.8399680000002
2024-04-20,139.84,1060.8000000000002,,,5.499936,,1206.139936
2024-04-21,238.1,1060.8000000000002,,,8.839967999999999,,1307.739968
2024-04-22,248.74,1060.8000000000002,,,198.00871800000002,,1507.5487180000002
2024-04-23,226.95125,1060.8000000000002,,,199.99996800000002,,1487.7512180000003
2024-04-24,229.26,1060.8000000000002,,,199.99996800000002,,1490.0599680000003
2024-04-25,178.865,1060.8000000000002,,,199.99996800000002,,1439.6649680000003
2024-04-26,161.04625,1060.8000000000002,,,199.99996800000002,,1421.8462180000001
2024-04-27,242.94,1060.8000000000002,,,99.96000000000001,,1403.7000000000003
2024-04-28,195.66,1060.8000000000002,,,60.0,,1316.4600000000003
2024-04-29,182.12625,1060.8000000000002,,,198.541635,,1441.4678850000003
2024-04-30,265.32,1060.8000000000002,,,259.374968,,1585.4949680000002
2024-05-01,106.24000000000001,1060.8000000000002,,,11.990593,,1179.0305930000002
2024-05-02,126.62,1060.8000000000002,,,79.264343,,1266.6843430000001
2024-05-03,95.52,1060.8000000000002,,,99.791603,,1256.111603
2024-05-04,110.8,1060.8000000000002,,,198.958301,,1370.558301
2024-05-05,94.35,1060.8000000000002,,,46.419936,,1201.569936
2024-05-06,195.76,1060.8000000000002,,,199.99996800000002,,1456.5599680000003
2024-05-07,203.415,1060.8000000000002,,,199.99996800000002,,1464.2149680000002
2024-05-08,224.8,1060.8000000000002,,,39.999936,,1325.599936
2024-05-09,95.7,1060.8000000000002,,,22.405176,,1178.9051760000002
2024-05-10,78.8,1060.8000000000002,,,24.258477999999997,,1163.858478
2024-05-11,75.2,1060.8000000000002,,,10.049790999999999,,1146.0497910000001
2024-05-12,69.625,1060.8000000000002,,,123.559968,,1253.9849680000002
2024-05-13,295.1,1060.8000000000002,,,139.99996800000002,,1495.8999680000002
2024-05-14,290.44,1060.8000000000002,,,83.27708299999999,,1434.5170830000002
2024-05-15,175.265,1060.8000000000002,,,198.777885,,1434.842885
2024-05-16,43.44,1060.8000000000002,,,199.99996800000002,,1304.2399680000003
2024-05-17,68.48,1060.8000000000002,,,199.99996800000002,,1329.2799680000003
2024-05-18,45.28,1060.8000000000002,,,168.333333,,1274.4133330000002
2024-05-19,42.410000000000004,1060.8000000000002,,,175.02600999999999,,1278.2360100000003
2024-05-20,66.65,1060.8000000000002,,,76.059936,,1203.5099360000004
2024-05-21,128.15,1060.8000000000002,,,198.51104099999998,,1387.4610410000003
2024-05-22,47.44,1060.8000000000002,,,168.0,,1276.2400000000002
2024-05-23,154.78,1060.8000000000002,,,139.99996800000002,,1355.5799680000002
2024-05-24,119.62,1060.8000000000002,,,139.99996800000002,,1320.4199680000002
2024-05-25,49.22,1060.8000000000002,,,167.708333,,1277.7283330000002
2024-05-26,42.77,1060.8000000000002,,,91.148895,,1194.7188950000002
2024-05-27,121.68,1060.8000000000002,,,199.79999999999998,,1382.2800000000002
2024-05-28,69.685,1060.8000000000002,,,13.02601,,1143.5110100000002
2024-05-29,176.595,1060.8000000000002,,,139.99996800000002,,1377.3949680000003
2024-05-30,106.88,1060.8000000000002,,,139.99996800000002,,1307.6799680000004
2024-05-31,142.4,1060.8000000000002,,,100.416603,,1303.6166030000002
2024-06-01,44.425,1060.8000000000002,,,15.999936000000002,,1121.224936
2024-06-02,82.305,1060.8000000000002,,,15.999936000000002,,1159.1049360000002
2024-06-03,88.63625,1060.8000000000002,,,198.0,,1347.4362500000002
2024-06-04,103.605,1060.8000000000002,,,140.604135,,1305.0091350000002
2024-06-05,65.56,1060.8000000000002,,,139.99996800000002,,1266.3599680000002
2024-06-06,63.575,1060.8000000000002,,,167.708333,,1292.0833330000003
2024-06-07,122.2,1060.8000000000002,,,168.0,,1351.0000000000002
2024-06-08,43.76,1060.8000000000002,,,35.339999999999996,,1139.9
2024-06-09,44.555,1060.8000000000002,,,72.619968,,1177.9749680000002
2024-06-10,102.89999999999999,1060.8000000000002,,,79.999968,,1243.6999680000004
2024-06-11,133.7,1060.8000000000002,,,167.083333,,1361.5833330000003
2024-06-12,268.96,1060.8000000000002,,,100.70827,,1430.4682700000003
2024-06-13,127.685,1060.8000000000002,,,139.99996800000002,,1328.4849680000002
2024-06-14,133.07999999999998,1060.8000000000002,,,29.539968,,1223.4199680000002
2024-06-15,125.82,1060.8000000000002,,,16.140978,,1202.760978
2024-06-16,63.49,1060.8000000000002,,,30.507291000000002,,1154.797291
2024-06-17,85.77,1060.8000000000002,,,139.99996800000002,,1286.5699680000002
2024-06-18,137.82,1060.8000000000002,,,139.99996800000002,,1338.6199680000002
2024-06-19,86.255,11.05,1195.08,1196.44,86.602083,,2575.4270829999996
2024-06-20,44.64,,1546.5,1569.06,198.61499999999998,,3358.8149999999996
2024-06-21,60.32,,1932.82,1934.68,139.99996800000002,,4067.819968
2024-06-22,122.8,,846.925,850.525,105.019968,,1925.269968
2024-06-23,152.68,,994.215,994.215,93.184583,,2234.2945830000003
2024-06-24,151.575,,2919.8,2919.8,139.99996800000002,,6131.174968
2024-06-25,173.6,,3582.24,4911.32,197.395833,,8864.555833
2024-06-26,232.04,,1532.2,1532.2,139.99996800000002,,3436.439968
2024-06-27,342.26,,1833.02,1833.02,139.99996800000002,,4148.299967999999
2024-06-28,162.31375,,1182.6,1182.6,139.99996800000002,,2667.513718
2024-06-29,231.22,,1062.7,1100.64,31.145833,,2425.7058330000004
2024-06-30,152.50375,,754.04,778.325,89.52,,1774.38875
2024-07-01,281.0,,1626.42,1626.42,79.999968,,3613.839968
2024-07-02,369.98,,2022.0,2022.0,79.999968,,4493.979968
2024-07-03,486.12,,1617.06,1887.16,79.999968,,4070.339968
2024-07-04,137.76,,1074.3,1074.3,79.999968,,2366.3599679999998
2024-07-05,154.64,,723.4,723.4,79.999968,,1681.4399680000001
2024-07-06,48.32,,788.04,793.72,16.666603000000002,,1646.7466029999998
2024-07-07,50.485,,689.545,705.025,79.999968,,1525.054968
2024-07-08,325.35,,1332.335,1332.335,79.999968,,3070.019968
2024-07-09,595.8,,2182.305,2182.305,79.999968,,5040.409968
2024-07-10,347.68,,1537.875,1592.795,79.999968,,3558.3499680000004
2024-07-11,456.34,,1185.26,1185.26,79.999968,,2906.8599679999998
2024-07-12,273.21999999999997,,1802.32,1802.32,79.999968,,3957.8599679999998
2024-07-13,227.18,,1001.2,1015.6,30.718718,,2274.698718
2024-07-14,93.76,,1012.885,1012.885,70.98,,2190.5099999999998
2024-07-15,533.92,,1151.66,1165.08,79.90601,,2930.56601
2024-07-16,734.71125,,2414.3,2414.3,79.999968,,5643.311218000001
